Case,Equation,Av_Height,np.min,np.max,Inflow,Outflow,%Deviation,K_eq,Exec_time,Area,Height_3,Av_lub,cells,dof,time
3d-artificial-fracture2.5D-slope-10N,3d-artificial-fracture2.5D-slope-10N,0.00149948,9.000194e-04,2.099974e-03,0.004451442151,0.004451442151,-8.396069e-11,1.5898e-07,31.5172,0.001,382199,0.00137796,40000,181503,31.5172
3d-artificial-fracture2.5D-slope-10N,3d-artificial-fracture2.5D-slope-10N,0.00150001,9.000194e-04,2.099974e-03,0.004451239571,0.004451239571,-8.525058e-11,1.58973e-07,34.2675,0.001,382449,0.00137766,40602,184222,34.2675
3d-artificial-fracture2.5D-slope-9N,3d-artificial-fracture2.5D-slope-9N,0.0015,9.000050e-04,2.099992e-03,0.004448128464,0.004448128464,-8.431573e-11,1.58862e-07,29.5314,0.001,381022,0.00137938,40602,184222,29.5314
3d-artificial-fracture2.5D-slope-9N,3d-artificial-fracture2.5D-slope-9N,0.00150003,9.000050e-04,2.099992e-03,0.004446928651,0.004446928651,-1.260591e-10,1.58819e-07,96.6377,0.001,381233,0.00137912,120000,542503,96.6377
3d-artificial-fracture2.5D-slope-10N,3d-artificial-fracture2.5D-slope-10N,0.00150001,9.000194e-04,2.099974e-03,0.004451239571,0.004451239571,-8.525058e-11,1.58973e-07,30.7719,0.001,382449,0.00137766,40602,184222,30.7719
3d-artificial-fracture2.5D-slope-10N,3d-artificial-fracture2.5D-slope-10N,0.00150002,9.007731e-04,2.098855e-03,0.00445615056,0.00445615056,-8.468948e-11,1.59148e-07,23.9347,0.001,381389,0.00137894,40602,184222,23.9347
3d-artificial-fracture2.5D-box-1mm-0003,3d-artificial-fracture2.5D-box-1mm-0003,0.001,1.000000e-03,1.000000e-03,0.002882832705,0.002882832705,-9.308959e-11,8.23666e-08,24.6628,0.005,5e+06,0.001,40602,184222,24.6628
3d-artificial-fracture2.5D-box-1mm-0003,3d-artificial-fracture2.5D-box-1mm-0003,0.001,1.000000e-03,1.000000e-03,0.002882832705,0.002882832705,-9.280376e-11,8.23666e-08,30.9266,0.005,5e+06,0.001,40602,184222,30.9266
3d-artificial-fracture2.5D-box-1mm-0003,3d-artificial-fracture2.5D-box-1mm-0003,0.001,1.000000e-03,1.000000e-03,0.002882832705,0.002882832705,-1.146922e-10,8.23666e-08,10.534,0.005,5e+06,0.001,40602,184222,10.534
3d-artificial-fracture2.5D-box-1mm-0003,3d-artificial-fracture2.5D-box-1mm-0003,0.001,1.000000e-03,1.000000e-03,0.002882832705,0.002882832705,-9.280376e-11,8.23666e-08,30.9179,0.005,5e+06,0.001,40602,184222,30.9179
3d-artificial-fracture2.5D-slope-10N,3d-artificial-fracture2.5D-slope-10N,0.00150001,9.000194e-04,2.099974e-03,0.004451239571,0.004451239571,-8.525058e-11,1.58973e-07,30.7141,0.001,382449,0.00137766,40602,184222,30.7141
3d-artificial-fracture2.5D-slope-10N,3d-artificial-fracture2.5D-slope-10N,0.00150002,9.007731e-04,2.098855e-03,0.00445615056,0.00445615056,-8.468948e-11,1.59148e-07,23.1664,0.001,381389,0.00137894,40602,184222,23.1664
3d-artificial-fracture2.5D-eggshell-10N,3d-artificial-fracture2.5D-eggshell-10N,0.00100002,9.000500e-04,1.099873e-03,0.002248036916,0.002248036916,-8.573159e-11,8.0287e-08,23.4013,0.001,1.02769e+06,0.000990935,40602,184222,23.4013
