mesh,triangles,dofs,solver,avg_ah,x,y,z,inflow,outflow,deviation,k_eq,k_f,exec_time,Area,ah_lub
thin_box_1mm_meshsize_0004,74594,     4e+05,minres,1.000000e-03,5.000000e-02,2.000000e-02,1.000000e-03,0.0002224710944,0.0002224711165,-9.917195e-06,8.0667e-08,8.3333e-08,365.949,0.001,1.000000e+03
thin_box_1mm_meshsize_0003,190389,     1e+06,minres,1.000000e-03,5.000000e-02,2.000000e-02,1.000000e-03,0.0002225373717,0.000222537363,3.911268e-06,8.0691e-08,8.3333e-08,1376,0.001,1.000000e+03
thin_box_1mm_meshsize_0004,74594,     4e+05,minres,1.000000e-03,5.000000e-02,2.000000e-02,1.000000e-03,0.0002224711279,0.0002224710724,2.494567e-05,8.0667e-08,8.3333e-08,276.909,0.001,1.000000e+03
thin_box_1mm_meshsize_0004,74594,     4e+05,minres,1.000000e-03,5.000000e-02,2.000000e-02,1.000000e-03,1.112355639e-05,1.112355362e-05,2.491681e-05,8.0667e-08,8.3333e-08,303.257,0.001,1.000000e+03
thin_box_1mm_meshsize_0002,599296,     3e+06,minres,1.000000e-03,5.000000e-02,2.000000e-02,1.000000e-03,0.000222571409,0.0002225714372,-1.265894e-05,8.0703e-08,8.3333e-08,6082.45,0.001,1.000000e+03
thin_box_1mm_meshsize_0004,74594,     4e+05,minres,1.000000e-03,5.000000e-02,2.000000e-02,1.000000e-03,1.140940628e-05,1.139659526e-05,1.122848e-01,8.2647e-08,8.3333e-08,215.98,0.001,1.000000e+03
thin_box_1mm_meshsize_0003,190389,     1e+06,minres,1.000000e-03,5.000000e-02,2.000000e-02,1.000000e-03,0.0002225392038,0.0002225409236,-7.727917e-04,8.0692e-08,8.3333e-08,893.117,0.001,1.000000e+03
thin_box_1mm_meshsize_0002,599296,     3e+06,minres,1.000000e-03,5.000000e-02,2.000000e-02,1.000000e-03,0.0002225731298,0.0002225747752,-7.392837e-04,8.0704e-08,8.3333e-08,4816.49,0.001,1.000000e+03
thin_box_1mm_meshsize_0002,599296,     3e+06,minres,1.000000e-03,5.000000e-02,2.000000e-02,1.000000e-03,0.0002225731298,0.0002225747752,-7.392837e-04,8.0704e-08,8.3333e-08,3997.5,0.001,1.000000e+03
thin_box_1mm_meshsize_0002,599296,     3e+06,minres,1.000000e-03,5.000000e-02,2.000000e-02,1.000000e-03,0.0002225731298,0.0002225747752,-7.392837e-04,8.0704e-08,8.3333e-08,4400.7,0.001,1.000000e+03
